EntryDate,TotalTrades,AveragePnL,TotalPnL
2015-07-14,1,-76.4578617433635,-76.4578617433635
2015-07-15,1,-214.7964271106865,-214.7964271106865
2015-07-16,1,-71.83430543266331,-71.83430543266331
2015-07-17,2,-64.82487106317357,-129.64974212634715
2015-07-21,2,138.92156817592846,277.8431363518569
2015-07-22,1,523.6116109648705,523.6116109648705
2015-07-23,2,-76.07460848546809,-152.14921697093618
2015-07-24,2,-55.67871835306556,-111.35743670613112
2015-07-28,2,-71.42170708047068,-142.84341416094136
2015-07-29,1,29.812685052209833,29.812685052209833
2015-07-30,2,-84.96559273026946,-169.93118546053893
2015-07-31,1,-85.87402744458001,-85.87402744458001
2015-08-03,2,-61.18748049591225,-122.3749609918245
2015-08-04,1,-85.68021781578467,-85.68021781578467
2015-08-05,1,-58.82645735560136,-58.82645735560136
